Line_index,Line_start,Line_end,Line
1,1,2,"[ -2.9599967570663948,54.94259958220823],[ -1.7438937687082148,54.976702996815256]"
2,1,2,"[ -2.9599967570663948,54.94259958220823],[ -1.7438937687082148,54.976702996815256]"
3,1,31,"[ -2.9599967570663948,54.94259958220823],[ -1.0837834906824324,53.58014796874405]"
4,1,32,"[ -2.9599967570663948,54.94259958220823],[ -1.0837834906824324,53.58014796874405]"
5,1,75,"[ -2.9599967570663948,54.94259958220823],[ -0.9098481700663408,51.927198601260926]"
6,1,76,"[ -2.9599967570663948,54.94259958220823],[ -0.9098481700663408,51.927198601260926]"
7,2,7,"[ -1.7438937687082148,54.976702996815256],[ -0.9945714779797197,53.73559912885454]"
8,2,7,"[ -1.7438937687082148,54.976702996815256],[ -0.9945714779797197,53.73559912885454]"
9,2,111,"[ -1.7438937687082148,54.976702996815256],[ -2.3405547129104325,53.48221715459604]"
10,2,112,"[ -1.7438937687082148,54.976702996815256],[ -2.3405547129104325,53.48221715459604]"
11,3,4,"[ -2.752932207052319,53.74543392890058],[ -3.052285951128855,53.232985465731794]"
12,3,4,"[ -2.752932207052319,53.74543392890058],[ -3.052285951128855,53.232985465731794]"
13,3,5,"[ -2.752932207052319,53.74543392890058],[ -2.3809234866743907,53.51387488731601]"
14,3,5,"[ -2.752932207052319,53.74543392890058],[ -2.3809234866743907,53.51387488731601]"
15,3,7,"[ -2.752932207052319,53.74543392890058],[ -0.9945714779797197,53.73559912885454]"
16,3,7,"[ -2.752932207052319,53.74543392890058],[ -0.9945714779797197,53.73559912885454]"
17,3,31,"[ -2.752932207052319,53.74543392890058],[ -1.0837834906824324,53.58014796874405]"
18,3,32,"[ -2.752932207052319,53.74543392890058],[ -1.0837834906824324,53.58014796874405]"
19,4,5,"[ -3.052285951128855,53.232985465731794],[ -2.3809234866743907,53.51387488731601]"
20,4,5,"[ -3.052285951128855,53.232985465731794],[ -2.3809234866743907,53.51387488731601]"
21,4,34,"[ -3.052285951128855,53.232985465731794],[ -1.0837834906824324,53.58014796874405]"
