start,end
1,2
1,2
1,31
1,32
1,75
1,76
2,7
2,7
2,111
2,112
3,4
3,4
3,5
3,5
3,7
3,7
3,31
3,32
4,5
4,5
4,34
5,6
5,7
5,7
5,10
5,10
5,28
6,7
6,7
6,8
6,8
7,8
7,8
8,11
8,11
8,14
8,14
9,10
9,10
9,14
9,14
9,22
9,23
10,15
10,15
10,26
10,27
11,12
11,12
11,13
11,13
12,13
12,13
12,18
12,18
13,14
13,14
13,17
13,17
13,24
13,25
14,15
14,15
14,17
14,17
15,16
15,16
15,21
15,21
16,20
16,20
16,29
16,30
17,18
17,18
18,19
18,19
19,20
19,20
20,21
20,21
33,34
74,75
74,76
74,100
74,100
78,83
78,86
78,96
79,90
83,86
83,133
84,134
86,99
86,99
86,108
86,109
86,128
86,130
86,130
90,91
90,100
91,92
91,97
91,100
92,93
96,99
96,99
100,104
100,104
104,110
104,110
110,111
110,112
114,120
114,120
114,133
115,134
120,123
120,128
120,128
120,128
123,128
123,128
123,128
128,130
128,130
128,130
1,35
2,36
2,37
2,38
3,39
3,40
3,41
3,42
4,26
4,27
4,43
4,44
4,45
46,5
28,6
7,47
8,22
8,23
24,8
25,8
8,48
8,49
8,50
9,51
52,9
10,53
10,54
10,55
11,56
11,57
12,58
12,59
14,60
15,61
15,62
15,63
29,17
30,17
17,64
18,65
18,66
19,67
19,68
20,69
20,70
20,71
21,72
21,73
74,77
79,78
78,80
78,81
78,82
132,78
83,84
83,85
86,87
86,88
86,89
91,94
91,95
97,96
96,98
100,99
100,99
100,101
100,102
100,103
104,105
104,106
104,107
110,108
110,109
110,113
114,115
114,116
114,117
114,118
114,119
120,121
120,122
123,124
123,125
123,126
123,127
128,129
130,131
132,130
133,132
132,136
133,135
