node_index,genorload,Latitude
1,2,"54.94259958220823, -2.9599967570663948"
2,1,"54.976702996815256, -1.7438937687082148"
3,1,"53.74543392890058, -2.752932207052319"
4,1,"53.232985465731794, -3.052285951128855"
5,1,"53.51387488731601, -2.3809234866743907"
6,1,"53.58014796874405, -1.0837834906824324"
7,1,"53.73559912885454, -0.9945714779797197"
8,1,"53.594813029735285, -0.7491838835329762"
9,1,"52.865560873948176, -1.2561763121377867"
10,2,"52.25063766020046, -1.9888413892850967"
11,1,"52.72710051797123, 0.1989670349568138"
12,1,"53.348466871791345, -1.689456436252286"
13,2,"52.461348276170085, -1.8598212044448348"
14,2,"51.927198601260926, -0.9098481700663408"
15,1,"51.371772022260494, -2.1387523620231192"
16,1,"53.42628347167888, -1.2622679150120988"
17,2,"51.51348843682179, -0.12220930275771401"
18,1,"51.36367253816833, 0.7354702883795619"
19,2,"51.10469776468738, 1.0079392208724456"
20,2,"50.91331731769251, -1.0292436595201409"
21,2,"50.79674493712362, -3.9025597150035884"
22,1,"53.594813029735285, -0.7491838835329762"
23,1,"53.594813029735285, -0.7491838835329762"
24,1,"53.594813029735285, -0.7491838835329762"
25,1,"53.594813029735285, -0.7491838835329762"
26,1,"53.594813029735285, -0.7491838835329762"
27,1,"53.594813029735285, -0.7491838835329762"
28,1,"53.58014796874405, -1.0837834906824324"
29,1,"53.58014796874405, -1.0837834906824324"
30,1,"53.58014796874405, -1.0837834906824324"
31,1,"53.58014796874405, -1.0837834906824324"
32,1,"53.58014796874405, -1.0837834906824324"
33,1,"53.58014796874405, -1.0837834906824324"
34,1,"53.58014796874405, -1.0837834906824324"
35,2,"54.94259958220823, -2.9599967570663948"
36,2,"54.976702996815256, -1.7438937687082148"
37,2,"54.976702996815256, -1.7438937687082148"
38,2,"54.976702996815256, -1.7438937687082148"
39,2,"53.74543392890058, -2.752932207052319"
40,2,"53.74543392890058, -2.752932207052319"
41,2,"53.74543392890058, -2.752932207052319"
42,2,"53.74543392890058, -2.752932207052319"
43,2,"53.232985465731794, -3.052285951128855"
44,2,"53.232985465731794, -3.052285951128855"
45,2,"53.232985465731794, -3.052285951128855"
46,2,"53.51387488731601, -2.3809234866743907"
47,3,"53.73559912885454, -0.9945714779797197"
48,2,"53.594813029735285, -0.7491838835329762"
49,2,"53.594813029735285, -0.7491838835329762"
50,2,"53.594813029735285, -0.7491838835329762"
51,2,"52.865560873948176, -1.2561763121377867"
52,2,"52.865560873948176, -1.2561763121377867"
53,2,"52.25063766020046, -1.9888413892850967"
54,2,"52.25063766020046, -1.9888413892850967"
55,2,"52.25063766020046, -1.9888413892850967"
56,2,"52.72710051797123, 0.1989670349568138"
57,2,"52.72710051797123, 0.1989670349568138"
58,2,"53.348466871791345, -1.689456436252286"
59,2,"53.348466871791345, -1.689456436252286"
60,2,"51.927198601260926, -0.9098481700663408"
61,2,"51.371772022260494, -2.1387523620231192"
62,2,"51.371772022260494, -2.1387523620231192"
63,2,"51.371772022260494, -2.1387523620231192"
64,2,"51.51348843682179, -0.12220930275771401"
65,2,"51.36367253816833, 0.7354702883795619"
66,2,"51.36367253816833, 0.7354702883795619"
67,2,"51.10469776468738, 1.0079392208724456"
68,2,"51.10469776468738, 1.0079392208724456"
69,2,"50.91331731769251, -1.0292436595201409"
70,2,"50.91331731769251, -1.0292436595201409"
71,2,"50.91331731769251, -1.0292436595201409"
72,2,"50.79674493712362, -3.9025597150035884"
73,2,"50.79674493712362, -3.9025597150035884"
74,2,"51.927198601260926, -0.9098481700663408"
75,1,"51.927198601260926, -0.9098481700663408"
76,1,"51.927198601260926, -0.9098481700663408"
77,2,"51.927198601260926, -0.9098481700663408"
78,2,"55.83714472648713, -4.686733569759012"
79,1,"55.83714472648713, -4.686733569759012"
80,2,"55.83714472648713, -4.686733569759012"
81,2,"55.83714472648713, -4.686733569759012"
82,2,"55.83714472648713, -4.686733569759012"
83,1,"56.020913254753395, -3.905306195894084"
84,1,"56.020913254753395, -3.905306195894084"
85,2,"56.020913254753395, -3.905306195894084"
86,2,"56.050371797302205, -3.6853005430154684"
87,2,"56.050371797302205, -3.6853005430154684"
88,2,"56.050371797302205, -3.6853005430154684"
89,2,"56.050371797302205, -3.6853005430154684"
90,1,"55.907007888209414, -4.870333216200005"
91,1,"55.7234579129827, -4.8981427957503"
92,1,"55.7234579129827, -4.8981427957503"
93,2,"55.7234579129827, -4.8981427957503"
94,2,"55.7234579129827, -4.8981427957503"
95,2,"55.7234579129827, -4.8981427957503"
96,1,"55.78552055767659, -4.42491307796785"
97,1,"55.78552055767659, -4.42491307796785"
98,2,"55.78552055767659, -4.42491307796785"
99,1,"55.67560180507288, -4.064340478966536"
100,1,"55.67560180507288, -4.064340478966536"
101,2,"55.67560180507288, -4.064340478966536"
102,2,"55.67560180507288, -4.064340478966536"
103,2,"55.67560180507288, -4.064340478966536"
104,2,"57.31198128393078, -4.359012377617037"
105,2,"57.31198128393078, -4.359012377617037"
106,2,"57.31198128393078, -4.359012377617037"
107,2,"57.31198128393078, -4.359012377617037"
108,1,"53.48221715459604, -2.3405547129104325"
109,1,"53.48221715459604, -2.3405547129104325"
110,1,"53.48221715459604, -2.3405547129104325"
111,1,"53.48221715459604, -2.3405547129104325"
112,1,"53.48221715459604, -2.3405547129104325"
113,2,"53.48221715459604, -2.3405547129104325"
114,2,"57.483439162815394, -4.460295658391722"
115,1,"57.483439162815394, -4.460295658391722"
116,2,"57.483439162815394, -4.460295658391722"
117,2,"57.483439162815394, -4.460295658391722"
118,2,"57.483439162815394, -4.460295658391722"
119,2,"57.483439162815394, -4.460295658391722"
120,1,"55.874011005264165, -4.191457809827574"
121,2,"55.874011005264165, -4.191457809827574"
122,2,"55.874011005264165, -4.191457809827574"
123,1,"57.50806535246214, -1.7841285242062415"
124,2,"57.50806535246214, -1.7841285242062415"
125,2,"57.50806535246214, -1.7841285242062415"
126,2,"57.50806535246214, -1.7841285242062415"
127,2,"57.50806535246214, -1.7841285242062415"
128,2,"57.2331743576788, -2.346052379862795"
129,2,"57.2331743576788, -2.346052379862795"
130,2,"56.53378160019205, -2.9567899398173636"
131,2,"56.53378160019205, -2.9567899398173636"
132,2,"56.759351018175245, -4.163496630203753"
133,1,"56.759351018175245, -4.163496630203753"
134,1,"56.759351018175245, -4.163496630203753"
135,2,"56.759351018175245, -4.163496630203753"
136,2,"56.759351018175245, -4.163496630203753"
