index,LatLon,GenorLoad
1,"-72.04355,41.24348",1
2,"-72.14054,41.35789",0
3,"-71.98606,41.43036",0
4,"-71.80801,41.31525",0
5,"-72.14054,41.63076",0
6,"-71.58011,41.92962",0
7,"-71.38131,42.16747",0
8,"-71.64178,42.16643",0
9,"-71.99923,42.03295",0
10,"-71.20849,41.60926",0
11,"-71.40472,41.54443",0
12,"-71.1025,41.92962",0
13,"-70.43134,41.78123",0
14,"-70.14877,41.67167",0
15,"-71.12466,42.09639",0
16,"-72.48011,42.75272",0
17,"-71.42039,42.82172",0
18,"-71.27914,42.50933",0
19,"-70.57265,43.13376",0
20,"-69.79556,43.91664",0
21,"-72.21072,41.14987",0
22,"-71.1025,41.4678",1
23,"-71.30124,41.40886",1
24,"-70.46667,41.60926",1
25,"-70.21943,41.54443",1
26,"-69.58359,43.96032",1
27,"-72.65104,42.84217",1
28,"-72.21964,42.51591",1
29,"-72.38306,42.57382",0
30,"-72.55076,42.15707",0
31,"-72.55076,41.67167",0
32,"-72.69202,41.4997",0
33,"-72.48011,41.39707",0
34,"-72.90398,41.35789",0
35,"-73.04527,41.52258",0
36,"-72.45371,41.24833",0
37,"-73.87276,42.47951",1
38,"-74.42333,42.44449",0
39,"-73.82285,42.08773",0
40,"-74.03902,42.64281",0
41,"-73.89349,42.79225",0
42,"-73.68155,42.68407",0
43,"-75.20939,42.90874",1
44,"-75.10342,43.03252",0
45,"-75.20939,43.15144",0
46,"-74.91785,44.52963",0
47,"-74.96637,44.84721",0
48,"-74.77657,44.94083",1
49,"-74.10543,44.79243",1
50,"-76.18384,43.11746",0
51,"-76.20267,42.9663",1
52,"-77.82188,43.02108",1
53,"-77.72816,42.87719",0
54,"-78.32064,43.13549",1
55,"-78.54105,43.00409",1
56,"-78.98,43.0561",1
57,"-79.06478,42.91186",1
58,"-78.98,42.7704",1
59,"-78.76807,42.71458",0
60,"-79.26259,42.44449",0
61,"-79.1147,42.32661",1
62,"-78.48548,42.8186",1
63,"-77.77902,42.40254",0
64,"-77.56709,42.38451",0
65,"-76.93127,42.61369",0
66,"-76.46265,41.91437",1
67,"-76.79422,41.97816",0
68,"-76.69955,42.09986",0
69,"-75.74348,41.96326",1
70,"-75.94222,41.98163",0
71,"-75.87158,42.11234",0
72,"-76.08352,42.6078",1
73,"-73.61091,41.51669",1
74,"-73.7343,41.2414",0
75,"-74.24672,41.04758",0
76,"-74.05221,41.06007",0
77,"-73.91092,41.22094",0
78,"-73.3985,40.68631",0
79,"-73.19833,40.72168",1
80,"-73.31042,40.8451",1
81,"-73.96414,40.63118",1
82,"-73.59301,40.79691",0
83,"-82.84811,42.06276",1
84,"-83.14859,42.09605",0
85,"-82.38938,42.51522",0
86,"-82.46003,42.38139",0
87,"-82.58342,42.50378",1
88,"-81.87696,42.81582",0
89,"-82.15955,42.91984",0
90,"-82.44213,42.8186",0
91,"-79.61629,43.64828",0
92,"-81.02921,46.67058",1
93,"-79.75758,44.58718",1
94,"-80.04016,44.06711",0
95,"-78.06161,46.24898",0
96,"-79.475,46.35854",0
97,"-81.3118,46.35854",0
98,"-75.13875,44.94048",1
99,"-75.08835,45.0965",1
100,"-74.82459,45.09026",0
101,"-79.79337,42.93613",0
102,"-79.38173,43.16462",1
103,"-79.26069,43.06892",0
104,"-79.96339,43.16462",0
105,"-81.45119,42.72568",0
106,"-80.81538,43.06892",0
107,"-80.71506,42.94931",0
108,"-79.79101,43.54115",0
109,"-79.89697,43.37542",0
110,"-79.6167,43.12093",0
111,"-80.46561,43.33901",0
112,"-82.15996,42.09778",0
113,"-82.50141,42.19729",0
114,"-82.72512,42.91984",0
115,"-82.72512,42.61369",0
116,"-82.86642,42.30234",1
117,"-83.43158,42.54643",0
118,"-83.43158,42.09605",0
119,"-83.57288,43.12786",0
120,"-85.69041,43.23188",1
121,"-83.2748,42.4359",1
122,"-83.32472,42.26427",1
123,"-83.45142,41.73692",1
124,"-74.83214,40.48286",1
125,"-74.37859,40.5262",0
126,"-74.19632,40.75261",0
127,"-75.5386,40.37885",0
128,"-75.3973,40.06403",0
129,"-75.82117,39.6563",0
130,"-76.38634,39.76031",0
131,"-76.64256,39.79082",1
132,"-77.51668,40.48875",0
133,"-79.21219,40.27483",0
134,"-79.19382,40.49777",1
135,"-79.52161,40.66211",1
136,"-80.34299,41.94495",1
137,"-80.06041,42.04897",0
138,"-76.38634,41.63014",1
139,"-82.32108,38.72017",0
140,"-79.55411,42.28161",1
