Line_index,Line_start,Line_end,Line
1,1,1,"[-72.04355,41.24348],[-72.04355,41.24348]"
2,2,1,"[-72.14054,41.35789],[-72.04355,41.24348]"
3,4,1,"[-71.80801,41.31525],[-72.04355,41.24348]"
4,21,1,"[-72.21072,41.14987],[-72.04355,41.24348]"
5,1,2,"[-72.04355,41.24348],[-72.14054,41.35789]"
6,2,2,"[-72.14054,41.35789],[-72.14054,41.35789]"
7,3,2,"[-71.98606,41.43036],[-72.14054,41.35789]"
8,33,2,"[-72.48011,41.39707],[-72.14054,41.35789]"
9,2,3,"[-72.14054,41.35789],[-71.98606,41.43036]"
10,3,3,"[-71.98606,41.43036],[-71.98606,41.43036]"
11,4,3,"[-71.80801,41.31525],[-71.98606,41.43036]"
12,1,4,"[-72.04355,41.24348],[-71.80801,41.31525]"
13,3,4,"[-71.98606,41.43036],[-71.80801,41.31525]"
14,4,4,"[-71.80801,41.31525],[-71.80801,41.31525]"
15,5,4,"[-72.14054,41.63076],[-71.80801,41.31525]"
16,4,5,"[-71.80801,41.31525],[-72.14054,41.63076]"
17,5,5,"[-72.14054,41.63076],[-72.14054,41.63076]"
18,6,5,"[-71.58011,41.92962],[-72.14054,41.63076]"
19,31,5,"[-72.55076,41.67167],[-72.14054,41.63076]"
20,5,6,"[-72.14054,41.63076],[-71.58011,41.92962]"
21,6,6,"[-71.58011,41.92962],[-71.58011,41.92962]"
22,7,6,"[-71.38131,42.16747],[-71.58011,41.92962]"
23,6,7,"[-71.58011,41.92962],[-71.38131,42.16747]"
24,7,7,"[-71.38131,42.16747],[-71.38131,42.16747]"
25,8,7,"[-71.64178,42.16643],[-71.38131,42.16747]"
26,10,7,"[-71.20849,41.60926],[-71.38131,42.16747]"
27,12,7,"[-71.1025,41.92962],[-71.38131,42.16747]"
28,15,7,"[-71.12466,42.09639],[-71.38131,42.16747]"
29,7,8,"[-71.38131,42.16747],[-71.64178,42.16643]"
30,8,8,"[-71.64178,42.16643],[-71.64178,42.16643]"
31,9,8,"[-71.99923,42.03295],[-71.64178,42.16643]"
32,18,8,"[-71.27914,42.50933],[-71.64178,42.16643]"
33,8,9,"[-71.64178,42.16643],[-71.99923,42.03295]"
34,9,9,"[-71.99923,42.03295],[-71.99923,42.03295]"
35,30,9,"[-72.55076,42.15707],[-71.99923,42.03295]"
36,7,10,"[-71.38131,42.16747],[-71.20849,41.60926]"
37,10,10,"[-71.20849,41.60926],[-71.20849,41.60926]"
38,11,10,"[-71.40472,41.54443],[-71.20849,41.60926]"
39,22,10,"[-71.1025,41.4678],[-71.20849,41.60926]"
40,10,11,"[-71.20849,41.60926],[-71.40472,41.54443]"
41,11,11,"[-71.40472,41.54443],[-71.40472,41.54443]"
42,23,11,"[-71.30124,41.40886],[-71.40472,41.54443]"
43,7,12,"[-71.38131,42.16747],[-71.1025,41.92962]"
