起点,终点,划分,经纬度
北京,沈阳,东北,"[116.41059,39.906779],[123.507758,41.694648]"
北京,长春,东北,"[116.41059,39.906779],[125.353461,43.855517]"
北京,哈尔滨,东北,"[116.41059,39.906779],[126.58393,45.849075]"
北京,呼和浩特,华北,"[116.41059,39.906779],[111.726483,40.841181]"
北京,天津,华北,"[116.41059,39.906779],[117.223579,39.118547]"
北京,石家庄,华北,"[116.41059,39.906779],[114.498969,38.122882]"
北京,太原,华北,"[116.41059,39.906779],[112.609321,37.91516]"
北京,济南,华东,"[116.41059,39.906779],[117.135688,36.69176]"
北京,合肥,华东,"[116.41059,39.906779],[117.223579,31.864954]"
北京,南京,华东,"[116.41059,39.906779],[118.80561,32.088617]"
北京,南昌,华东,"[116.41059,39.906779],[115.861274,28.716115]"
北京,杭州,华东,"[116.41059,39.906779],[120.21186,30.246247]"
北京,上海,华东,"[116.41059,39.906779],[121.530219,31.228295]"
北京,福州,华东,"[116.41059,39.906779],[119.332954,26.063189]"
北京,银川,西北,"[116.41059,39.906779],[106.23725,38.536557]"
北京,西安,西北,"[116.41059,39.906779],[108.917915,34.367463]"
北京,兰州,西北,"[116.41059,39.906779],[103.820258,36.054865]"
北京,西宁,西北,"[116.41059,39.906779],[101.754829,36.69176]"
北京,乌鲁木齐,西北,"[116.41059,39.906779],[87.604438,43.855517]"
北京,拉萨,西南,"[116.41059,39.906779],[91.164008,29.713333]"
北京,成都,西南,"[116.41059,39.906779],[104.127875,30.66295]"
北京,昆明,西南,"[116.41059,39.906779],[102.853461,24.952685]"
北京,重庆,西南,"[116.41059,39.906779],[106.544868,29.598766]"
北京,贵阳,西南,"[116.41059,39.906779],[106.676704,26.693101]"
北京,郑州,中南,"[116.41059,39.906779],[113.620063,34.801618]"
北京,武汉,中南,"[116.41059,39.906779],[114.323188,30.625142]"
北京,南宁,中南,"[116.41059,39.906779],[108.346625,22.863766]"
北京,海口,中南,"[116.41059,39.906779],[110.192329,20.083268]"
北京,长沙,中南,"[116.41059,39.906779],[112.916938,28.291313]"
北京,广州,中南,"[116.41059,39.906779],[119.332954,26.063189]"
北京,香港,港澳台,"[116.41059,39.906779],[114.235297,22.336349]"
北京,澳门,港澳台,"[116.41059,39.906779],[113.576118,22.255029]"
北京,台湾,港澳台,"[116.41059,39.906779],[121.592205,24.779678]"
